ID	Context	Placeholder	en-CA	en-US	fr-FR
main_window_title		AAAAAA	NPC Generator	NPC Generator	Générateur de PNJ
choose_configuration_file_label	Left of choose_configuration_file_button	BBBBBB	Configuration File	Configuration File	Fichier de configuration
choose_configuration_file_button	Right of choose_configuration_file_label	CCCCCC	Choose	Choose	Choisit
npc_quantity_label	Left of quantity number	DDDDDD	Quantity	Quantity	Quantité
generate_button	Button to generate NPCs	EEEEEE	Generate	Generate	Generer
save_button	Save generated NPCs	FFFFFFF	Save	Save	Sauver
privacy_policy_button	Shows privacy policy window	GGGGGG	Privacy Policy	Privacy Policy	Politique de Confidencialité
data_collection_consent_checkbox		HHHHHHH	Data Collection Consent	Data Collection Consent	Accord de collection de données
license_button	Show license window	IIIIII	License	License	License
privacy_policy_window_title		JJJJJJ	Privacy Policy	Privacy Policy	Politique de Confidencialité
license_window_title		KKKKKK	GNU License	GNU License	License GNU
exception_maybe_file_deleted	Parameter is an error message with the name of a file that couldn’t be found.	{0} LLLLLLL	{0} Was that file deleted?	{0} Was that file deleted?	{0} Est-ce que ce fichier a été effacé?
